INVSALES	treat	s	chica	id_firma	grande	PET	s2	s3	streat	streat2	streat3	notreat	snotreat	snotreat2	snotreat3	schica	schica2	schica3	sgrande	sgrande2	sgrande3	treatchica	streatchica	streatchica2	streatchica3	treatgrande	streatgrande	streatgrande2	streatgrande3	_est_A
.037000492	1	3	1	334	0	78	9	27	3	9	27	0	0	0	0	3	9	27	0	0	0	1	3	9	27	0	0	0	0	1
-.0056644878	1	22	1	219	0	97	484	10648	22	484	10648	0	0	0	0	22	484	10648	0	0	0	1	22	484	10648	0	0	0	0	1
.012664165	1	17	1	65	0	92	289	4913	17	289	4913	0	0	0	0	17	289	4913	0	0	0	1	17	289	4913	0	0	0	0	1
.031721398	1	10	1	276	0	85	100	1000	10	100	1000	0	0	0	0	10	100	1000	0	0	0	1	10	100	1000	0	0	0	0	1
.011008744	1	7	1	150	0	82	49	343	7	49	343	0	0	0	0	7	49	343	0	0	0	1	7	49	343	0	0	0	0	1
.044651341	1	10	1	5	0	85	100	1000	10	100	1000	0	0	0	0	10	100	1000	0	0	0	1	10	100	1000	0	0	0	0	1
.26773787	1	10	1	229	0	85	100	1000	10	100	1000	0	0	0	0	10	100	1000	0	0	0	1	10	100	1000	0	0	0	0	1
-.036508463	1	11	1	95	0	86	121	1331	11	121	1331	0	0	0	0	11	121	1331	0	0	0	1	11	121	1331	0	0	0	0	1
.34139264	1	1	1	345	0	76	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1
.12709497	1	20	1	212	0	95	400	8000	20	400	8000	0	0	0	0	20	400	8000	0	0	0	1	20	400	8000	0	0	0	0	1
.026836943	1	10	1	317	0	85	100	1000	10	100	1000	0	0	0	0	10	100	1000	0	0	0	1	10	100	1000	0	0	0	0	1
-.011867704	1	3	1	318	0	78	9	27	3	9	27	0	0	0	0	3	9	27	0	0	0	1	3	9	27	0	0	0	0	1
.036585364	1	13	1	96	0	88	169	2197	13	169	2197	0	0	0	0	13	169	2197	0	0	0	1	13	169	2197	0	0	0	0	1
.17077315	1	1	1	210	0	76	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1
.17909636	1	14	1	333	0	89	196	2744	14	196	2744	0	0	0	0	14	196	2744	0	0	0	1	14	196	2744	0	0	0	0	1
-.096029066	1	10	1	191	0	85	100	1000	10	100	1000	0	0	0	0	10	100	1000	0	0	0	1	10	100	1000	0	0	0	0	1
